бабье лето,
белая ворона,
биться как рыба об лед,
божий одуванчик,
буря в стакане воды,
в ногах правды нет,
вертеться на языке,
не вешать нос,
водить за нос,
волосы дыбом,
витать в облаках,
вот где собака зарыта!,
волк в овечьей шкуре,
второе дыхание,
втирать очки,
галопом по Европам,
глаза разбегаются,
глазом не моргнуть,
горькая правда,
грызть гранит науки,
делать из мухи слона,
держать язык за зубами,
до свадьбы заживет,
ежовые рукавицы,
ждать у моря погоды,
железный занавес,
жёлтая пресса,
зарубить на носу,
зубы заговаривать,
изобретать велосипед,
как две капли воды,
как об стенку горохом,
когда рак на горе свистнет,
кот в мешке,
кот наплакал,
медведь на ухо наступил,
медвежья услуга,
мурашки по коже,
на козе не подъедешь,
не в своей тарелке,
первый блин комом,
подлить масла в огонь,
показать где раки зимуют,
посыпать голову пеплом,
просиживать (протирать) штаны,
пуп земли,
розовые очки,
с корабля на бал,
с лёгким паром,
с нуля,
сидеть как на иголках,
сидеть на шее,
слюнки текут,
смотреть как баран на новые ворота,
типун тебе на язык,
тише воды ниже травы,
тянуть кота за хвост,
у разбитого корыта,
умывать руки,
час пик,
чувствовать себя как дома,
филькина грамота,
ящик Пандоры
