Винни-Пух,
Пятачок,
Карлсон,
Дюймовочка,
Доктор Айболит,
Чебурашка,
Кот Леопольд,
Белоснежка,
Золушка,
Спящая Красавица,
Микки Маус,
Том,
Джери,
Алиса,
Баба-Яга,
Багира,
Маугли,
кукла Барби,
Колобок,
Буратино,
Гадкий Утёнок,
Снегурочка,
Дед Мороз,
Красная шапочка,
Дональд Дак,
Змей Горыныч,
Котенок Гав,
Крокодил Гена,
Мальвина,
Мамонтенок,
Муха-Цокотуха,
Рыбка Немо,
Папа Карло,
Моряк Попай,
Почтальон Печкин,
Пчелка Майя,
Кай,
Герда,
Снежная королева,
Трубадур,
Бременские музыканты,
Умка,
Царевна-Лягушка,
Шрек,
Щелкунчик,
Супермен,
Робин Гуд,
Терминатор,
Дарт Вейдер,
Скарлетт О`Хара,
Штирлиц,
Кинг-Конг,
Чарли Чаплин,
Шерлок Холмс,
Доктор Ватсон
